time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-06-07 11:00:00,29599.66,29333.46,29590.66,1020.39,30067763.2,29504.19,direct,
2022-06-07 12:00:00,29550.82,29392.25,29504.19,1062.78,31325190.11,29484.86,direct,
2022-06-07 13:00:00,29689.62,29416.28,29484.86,1478.1,43691553.42,29545.8,direct,
2022-06-07 14:00:00,30017.62,29493.23,29545.8,2359.2,70245823.5,29897.39,direct,
2022-06-07 15:00:00,30003.41,29766.54,29897.39,1689.3,50469951.63,29878.6,direct,
2022-06-07 16:00:00,29932.94,29742.01,29878.6,928.46,27713517.25,29903.47,direct,
2022-06-07 17:00:00,29958.84,29846.29,29903.47,901.24,26953654.59,29929.19,direct,
2022-06-07 18:00:00,30246.55,29912.2,29929.19,1206.73,36351645.84,30180.47,direct,
2022-06-07 19:00:00,31389.15,30176.59,30180.47,4176.57,128819037.55,31033.01,direct,
2022-06-07 20:00:00,31551.28,31032.69,31033.01,3555.75,111425229.31,31335.31,direct,
2022-06-07 21:00:00,31517.64,31246.04,31335.31,1331.51,41804634.85,31378.5,direct,
2022-06-07 22:00:00,31462.52,30300.3,31378.5,3952.39,122537204.85,31236.88,direct,
2022-06-07 23:00:00,31361.19,30915.54,31236.88,2290.91,71298841.15,31111.75,direct,
2022-06-08 00:00:00,31305.48,31037.32,31111.75,1092.53,34046497.3,31065.69,direct,
2022-06-08 01:00:00,31195.3,30725.46,31065.69,1792.25,55535498.83,31093.15,direct,
2022-06-08 02:00:00,31212.11,30945.25,31093.15,1101.8,34243388.79,30953.58,direct,
2022-06-08 03:00:00,31005.93,29839.64,30953.58,4070.08,123176569.85,29998.88,direct,
2022-06-08 04:00:00,30375.92,29871.82,29998.88,1577.21,47560192.95,30219.09,direct,
2022-06-08 05:00:00,30625.48,30202.31,30219.09,994.42,30231728.59,30530.77,direct,
2022-06-08 06:00:00,30658.52,30351.84,30530.77,642.01,19573275.71,30510.59,direct,
2022-06-08 07:00:00,30615.18,30302.47,30510.59,676.0,20572738.87,30547.42,direct,
2022-06-08 08:00:00,30598.72,30421.99,30547.42,510.57,15571579.42,30476.39,direct,
2022-06-08 09:00:00,30553.53,30361.81,30476.39,666.61,20296899.87,30508.86,direct,
2022-06-08 10:00:00,30515.4,30326.92,30508.86,528.05,16056665.46,30372.22,direct,
2022-06-08 11:00:00,30483.6,30330.38,30372.22,651.73,19825710.99,30400.33,direct,
2022-06-08 12:00:00,30433.0,30108.01,30400.33,1174.55,35532804.94,30124.87,direct,
2022-06-08 13:00:00,30864.63,30040.93,30124.87,2274.65,69375369.49,30751.85,direct,
2022-06-08 14:00:00,30771.89,30324.32,30751.85,1528.58,46655778.18,30402.79,direct,
2022-06-08 15:00:00,30544.22,30364.39,30402.79,1179.95,35933933.26,30457.69,direct,
2022-06-08 16:00:00,30529.46,30207.52,30457.69,1232.38,37416000.38,30309.34,direct,
2022-06-08 17:00:00,30436.1,30270.15,30309.34,865.31,26252726.83,30365.74,direct,
2022-06-08 18:00:00,30401.6,29900.36,30365.74,1851.18,55817327.36,30216.76,direct,
2022-06-08 19:00:00,30288.26,30061.23,30216.76,1127.96,34037360.61,30110.06,direct,
2022-06-08 20:00:00,30291.11,30085.45,30110.06,616.22,18598355.7,30186.63,direct,
2022-06-08 21:00:00,30470.78,30180.99,30186.63,684.71,20754190.17,30396.37,direct,
2022-06-08 22:00:00,30433.33,30266.62,30396.37,442.68,13423501.07,30291.19,direct,
2022-06-08 23:00:00,30347.42,30171.56,30291.19,460.24,13923209.18,30189.27,direct,
2022-06-09 00:00:00,30249.17,30053.44,30189.27,768.9,23167777.51,30206.56,direct,
2022-06-09 01:00:00,30304.45,30072.96,30206.56,478.04,14446249.68,30074.37,direct,
2022-06-09 02:00:00,30190.01,30059.71,30074.37,380.96,11478442.62,30184.4,direct,
2022-06-09 03:00:00,30283.15,30161.05,30184.4,325.74,9843168.16,30276.28,direct,
2022-06-09 04:00:00,30284.66,30220.01,30276.28,221.29,6693392.36,30253.39,direct,
2022-06-09 05:00:00,30433.54,30234.77,30253.39,446.88,13560231.2,30304.83,direct,
2022-06-09 06:00:00,30336.27,30268.24,30304.83,263.42,7982397.42,30319.65,direct,
2022-06-09 07:00:00,30470.85,30303.49,30319.65,378.56,11501476.72,30469.85,direct,
2022-06-09 08:00:00,30544.82,30344.31,30469.85,642.07,19553886.31,30495.26,direct,
2022-06-09 09:00:00,30677.87,30463.65,30495.26,616.61,18841133.75,30531.63,direct,
2022-06-09 10:00:00,30582.9,30370.82,30531.63,548.49,16729877.37,30408.87,direct,
2022-06-09 11:00:00,30429.09,30253.62,30408.87,907.39,27556884.49,30280.72,direct,
2022-06-09 12:00:00,30350.42,30018.39,30280.72,1965.34,59216979.77,30089.63,direct,
2022-06-09 13:00:00,30242.02,29924.47,30089.63,1873.04,56375365.1,30140.91,direct,
2022-06-09 14:00:00,30265.62,30048.71,30140.91,1491.74,44995322.01,30100.03,direct,
2022-06-09 15:00:00,30365.55,30011.03,30100.03,1180.76,35628277.3,30286.74,direct,
2022-06-09 16:00:00,30356.79,30162.1,30286.74,1065.15,32232050.22,30338.29,direct,
2022-06-09 17:00:00,30431.31,30188.85,30338.29,1262.46,38250489.85,30303.89,direct,
2022-06-09 18:00:00,30331.19,30118.07,30303.89,986.33,29794585.65,30122.96,direct,
2022-06-09 19:00:00,30149.87,29961.55,30122.96,1191.13,35825788.81,29983.96,direct,
2022-06-09 20:00:00,30171.07,29939.03,29983.96,1391.43,41786988.17,30162.3,direct,
2022-06-09 21:00:00,30233.3,30114.11,30162.3,674.33,20349255.69,30119.52,direct,
2022-06-09 22:00:00,30136.61,29991.16,30119.52,700.77,21060182.95,30037.85,direct,
2022-06-09 23:00:00,30103.19,29963.44,30037.85,794.75,23865647.75,30082.94,direct,
2022-06-10 00:00:00,30118.62,29569.98,30082.94,2494.05,74276152.09,29746.34,direct,
2022-06-10 01:00:00,30016.06,29726.56,29746.34,680.79,20339557.72,29870.68,direct,
2022-06-10 02:00:00,30011.45,29856.53,29870.68,432.22,12954826.74,30003.23,direct,
2022-06-10 03:00:00,30336.9,30003.23,30003.23,1503.01,45381380.07,30097.43,direct,
2022-06-10 04:00:00,30132.29,30032.78,30097.43,428.6,12887091.49,30072.49,direct,
2022-06-10 05:00:00,30167.7,30065.9,30072.49,423.03,12744007.07,30085.92,direct,
2022-06-10 06:00:00,30210.96,30051.18,30085.92,774.88,23329562.81,30075.03,direct,
2022-06-10 07:00:00,30114.1,30041.64,30075.03,591.6,17794190.2,30042.7,direct,
2022-06-10 08:00:00,30094.95,29968.71,30042.7,819.66,24610870.24,30000.98,direct,
2022-06-10 09:00:00,30042.54,29850.02,30000.98,814.25,24387103.72,29873.44,direct,
2022-06-10 10:00:00,29986.96,29848.99,29873.44,596.98,17863428.21,29974.37,direct,
2022-06-10 11:00:00,30055.43,29947.71,29974.37,508.84,15259926.83,29995.81,direct,
2022-06-10 12:00:00,30159.84,29494.5,29995.81,4196.93,124810274.15,29616.51,direct,
2022-06-10 13:00:00,29692.01,29251.94,29616.51,3797.66,111811379.52,29370.53,direct,
2022-06-10 14:00:00,29658.22,29212.1,29370.53,2547.35,74946091.54,29540.2,direct,
2022-06-10 15:00:00,29600.68,29340.38,29540.2,2233.24,65730171.28,29432.02,direct,
2022-06-10 16:00:00,29451.86,28839.92,29432.02,4963.84,144301594.03,29018.77,direct,
2022-06-10 17:00:00,29173.15,28900.42,29018.77,3098.03,89981221.3,29082.21,direct,
2022-06-10 18:00:00,29108.7,28948.54,29082.21,2102.71,61038264.26,29026.97,direct,
2022-06-10 19:00:00,29125.16,28919.78,29026.97,2437.02,70657386.27,28945.83,direct,
2022-06-10 20:00:00,29226.06,28939.94,28945.83,1047.22,30510178.82,29180.74,direct,
2022-06-10 21:00:00,29356.0,29132.86,29180.74,635.94,18572205.79,29177.76,direct,
2022-06-10 22:00:00,29273.31,29082.96,29177.76,733.49,21398745.9,29155.54,direct,
2022-06-10 23:00:00,29187.96,29016.14,29155.54,600.26,17464340.28,29067.38,direct,
2022-06-11 00:00:00,29226.17,29025.08,29067.38,483.39,14095755.14,29215.72,direct,
2022-06-11 01:00:00,29236.98,29165.63,29215.72,393.85,11497142.28,29181.65,direct,
2022-06-11 02:00:00,29276.83,29164.51,29181.65,320.01,9344274.22,29248.42,direct,
2022-06-11 03:00:00,29290.41,29216.1,29248.42,270.41,7908900.92,29255.21,direct,
2022-06-11 04:00:00,29363.25,29238.0,29255.21,366.63,10739783.89,29361.2,direct,
2022-06-11 05:00:00,29414.37,29237.34,29361.2,397.58,11658390.01,29265.62,direct,
2022-06-11 06:00:00,29294.1,29250.17,29265.62,197.47,5780062.52,29289.28,direct,
2022-06-11 07:00:00,29335.87,29274.27,29289.28,188.55,5525578.98,29304.76,direct,
2022-06-11 08:00:00,30298.76,28922.27,29304.26,80010.58,2314755777.22,28930.62,invert_divide,ETH
2022-06-11 09:00:00,29152.79,28744.31,28989.94,2516.2,72726292.13,29048.88,direct,
2022-06-11 10:00:00,29096.16,28832.35,29048.88,680.69,19701794.76,28883.9,direct,
2022-06-11 11:00:00,28932.34,28594.08,28883.9,1872.31,53786351.7,28697.99,direct,
2022-06-11 12:00:00,28813.69,28449.53,28697.99,1675.04,47961952.44,28449.54,direct,
2022-06-11 13:00:00,28824.08,28323.56,28449.54,2209.83,63136538.95,28746.91,direct,
2022-06-11 14:00:00,28748.66,28363.03,28746.91,1492.82,42603806.62,28391.5,direct,
2022-06-11 15:00:00,28571.96,28229.35,28391.5,2451.87,69550218.86,28375.25,direct,
2022-06-11 16:00:00,28479.28,28105.18,28375.25,2032.04,57494604.43,28417.66,direct,
2022-06-11 17:00:00,28559.37,28375.02,28417.66,1011.03,28796010.21,28483.35,direct,
2022-06-11 18:00:00,28761.12,28435.8,28483.35,1143.09,32647929.95,28592.13,direct,
2022-06-11 19:00:00,28733.34,28573.34,28592.13,679.61,19473976.61,28576.31,direct,
2022-06-11 20:00:00,28592.29,28360.35,28576.31,848.94,24190440.36,28385.69,direct,
2022-06-11 21:00:00,28589.28,28369.2,28385.69,496.13,14143705.03,28539.72,direct,
2022-06-11 22:00:00,28655.98,28518.25,28539.72,440.79,12603134.38,28615.69,direct,
2022-06-11 23:00:00,28621.46,28220.46,28615.69,1165.69,33086255.89,28389.49,direct,
2022-06-12 00:00:00,28519.32,28355.69,28389.49,515.12,14659082.43,28490.17,direct,
2022-06-12 01:00:00,28499.42,28148.21,28490.17,1190.04,33680337.81,28214.4,direct,
2022-06-12 02:00:00,28316.06,27308.21,28214.4,6240.67,173210902.45,27410.87,direct,
2022-06-12 03:00:00,27732.32,27269.51,27410.87,2013.76,55370595.47,27543.98,direct,
2022-06-12 04:00:00,27626.2,27408.47,27543.98,1204.59,33129259.02,27414.82,direct,
2022-06-12 05:00:00,27443.37,27182.72,27414.82,1731.0,47279344.42,27264.44,direct,
